hero_kill_monster_id	hero_kill_monster_name	hero_kill_attributes	mapped_zircon_monster_index	mapped_zircon_monster_name	mapping_method	confidence	display_name_note	status
93	蛤蟆	"{""Appr"": 83, ""Race"": 19, ""Level"": 10, ""HP"": 19, ""Exp"": 19, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 6, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
94	蛤蟆0	"{""Appr"": 83, ""Race"": 19, ""Level"": 10, ""HP"": 19, ""Exp"": 19, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 2, ""DCMax"": 6, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
95	弓箭手	"{""Appr"": 112, ""Race"": 45, ""Level"": 150, ""HP"": 1, ""Exp"": 5000, ""ACMin"": 22, ""ACMax"": 22, ""MAC"": 22, ""DCMin"": 17, ""DCMax"": 33, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
96	弓箭守卫	"{""Appr"": 112, ""Race"": 45, ""Level"": 150, ""HP"": 1, ""Exp"": 5000, ""ACMin"": 33, ""ACMax"": 33, ""MAC"": 33, ""DCMin"": 33, ""DCMax"": 55, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
97	骨鬼将	"{""Appr"": 97, ""Race"": 19, ""Level"": 75, ""HP"": 5500, ""Exp"": 2250, ""ACMin"": 13, ""ACMax"": 13, ""MAC"": 50, ""DCMin"": 44, ""DCMax"": 66, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
98	海神将领	"{""Appr"": 201, ""Race"": 19, ""Level"": 55, ""HP"": 8200, ""Exp"": 2400, ""ACMin"": 26, ""ACMax"": 26, ""MAC"": 69, ""DCMin"": 107, ""DCMax"": 140, ""DropTable"": 6}"			pending	pending	identity mapping is separate from display translation	pending-review
99	褐色马	"{""Appr"": 150, ""Race"": 19, ""Level"": 100, ""HP"": 5, ""Exp"": 500, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
100	黑角蜘蛛	"{""Appr"": 81, ""Race"": 19, ""Level"": 35, ""HP"": 1530, ""Exp"": 370, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 50, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
101	黑角蜘蛛0	"{""Appr"": 81, ""Race"": 19, ""Level"": 35, ""HP"": 1530, ""Exp"": 370, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 50, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
102	黑马	"{""Appr"": 150, ""Race"": 19, ""Level"": 120, ""HP"": 5, ""Exp"": 800, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
103	黑色恶蛆	"{""Appr"": 81, ""Race"": 19, ""Level"": 50, ""HP"": 1500, ""Exp"": 540, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 38, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
104	黑色恶蛆0	"{""Appr"": 81, ""Race"": 19, ""Level"": 50, ""HP"": 1500, ""Exp"": 540, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 38, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
105	黑色恶蛆61	"{""Appr"": 81, ""Race"": 19, ""Level"": 60, ""HP"": 1600, ""Exp"": 540, ""ACMin"": 6, ""ACMax"": 6, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 38, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
106	黑野猪	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1360, ""Exp"": 200, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 11, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
107	黑野猪0	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1360, ""Exp"": 200, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 11, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
108	红甲虫	"{""Appr"": 97, ""Race"": 19, ""Level"": 73, ""HP"": 1500, ""Exp"": 750, ""ACMin"": 6, ""ACMax"": 6, ""MAC"": 10, ""DCMin"": 33, ""DCMax"": 55, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
109	红蛇	"{""Appr"": 81, ""Race"": 19, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
110	红蛇0	"{""Appr"": 81, ""Race"": 19, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
111	红野猪	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1360, ""Exp"": 200, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 5, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
112	红野猪0	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1360, ""Exp"": 200, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 5, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
113	红衣法师	"{""Appr"": 229, ""Race"": 19, ""Level"": 55, ""HP"": 8800, ""Exp"": 2800, ""ACMin"": 17, ""ACMax"": 17, ""MAC"": 53, ""DCMin"": 115, ""DCMax"": 148, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
114	蝴蝶虫	"{""Appr"": 81, ""Race"": 19, ""Level"": 50, ""HP"": 1200, ""Exp"": 560, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 41, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
115	蝴蝶虫0	"{""Appr"": 81, ""Race"": 19, ""Level"": 50, ""HP"": 1200, ""Exp"": 560, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 70, ""DCMin"": 24, ""DCMax"": 37, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
116	蝴蝶虫61	"{""Appr"": 81, ""Race"": 19, ""Level"": 60, ""HP"": 1200, ""Exp"": 560, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 41, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
117	虎蛇	"{""Appr"": 81, ""Race"": 19, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
118	虎蛇0	"{""Appr"": 81, ""Race"": 19, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
119	护法天	"{""Appr"": 101, ""Race"": 47, ""Level"": 78, ""HP"": 4000, ""Exp"": 2000, ""ACMin"": 22, ""ACMax"": 22, ""MAC"": 50, ""DCMin"": 60, ""DCMax"": 99, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
120	护卫武士	"{""Appr"": 212, ""Race"": 19, ""Level"": 100, ""HP"": 1, ""Exp"": 500, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 16, ""DCMin"": 19, ""DCMax"": 35, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
121	花色蜘蛛	"{""Appr"": 119, ""Race"": 19, ""Level"": 35, ""HP"": 1510, ""Exp"": 350, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 47, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
122	花色蜘蛛0	"{""Appr"": 119, ""Race"": 19, ""Level"": 35, ""HP"": 1510, ""Exp"": 350, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 47, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
123	幻影蜘蛛	"{""Appr"": 116, ""Race"": 35, ""Level"": 35, ""HP"": 1500, ""Exp"": 340, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
124	灰血恶魔	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 33, ""DCMax"": 48, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
125	灰血恶魔0	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 33, ""DCMax"": 48, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
126	灰血恶魔60	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 35, ""ACMax"": 35, ""MAC"": 55, ""DCMin"": 80, ""DCMax"": 120, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
127	火焰狮子0	"{""Appr"": 224, ""Race"": 19, ""Level"": 48, ""HP"": 3600, ""Exp"": 1600, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 13, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
128	火焰狮子97	"{""Appr"": 224, ""Race"": 19, ""Level"": 48, ""HP"": 3600, ""Exp"": 1600, ""ACMin"": 14, ""ACMax"": 14, ""MAC"": 27, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
129	火焰沃玛0	"{""Appr"": 91, ""Race"": 20, ""Level"": 25, ""HP"": 340, ""Exp"": 260, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 31, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
130	火焰沃玛30	"{""Appr"": 91, ""Race"": 20, ""Level"": 25, ""HP"": 340, ""Exp"": 260, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 13, ""DCMin"": 15, ""DCMax"": 100, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
131	火焰沃玛62	"{""Appr"": 91, ""Race"": 20, ""Level"": 25, ""HP"": 1, ""Exp"": 280, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 31, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
132	鸡	"{""Appr"": 31, ""Race"": 11, ""Level"": 2, ""HP"": 5, ""Exp"": 10, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 1, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
133	记事本1	"{""Appr"": 209, ""Race"": 19, ""Level"": 50, ""HP"": 2000, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
134	记事本2	"{""Appr"": 209, ""Race"": 19, ""Level"": 50, ""HP"": 3000, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
135	记事本3	"{""Appr"": 209, ""Race"": 19, ""Level"": 50, ""HP"": 4000, ""Exp"": 40, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
136	记事本4	"{""Appr"": 209, ""Race"": 19, ""Level"": 50, ""HP"": 5000, ""Exp"": 50, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
137	僵尸1	"{""Appr"": 94, ""Race"": 40, ""Level"": 20, ""HP"": 240, ""Exp"": 160, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 10, ""DCMax"": 22, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
138	僵尸10	"{""Appr"": 94, ""Race"": 40, ""Level"": 20, ""HP"": 240, ""Exp"": 160, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 10, ""DCMax"": 22, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
139	僵尸2	"{""Appr"": 95, ""Race"": 41, ""Level"": 20, ""HP"": 220, ""Exp"": 140, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 22, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
140	僵尸20	"{""Appr"": 95, ""Race"": 41, ""Level"": 20, ""HP"": 220, ""Exp"": 140, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 22, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
141	僵尸261	"{""Appr"": 95, ""Race"": 41, ""Level"": 20, ""HP"": 1, ""Exp"": 180, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 22, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
142	僵尸3	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
143	僵尸30	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
144	僵尸4	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
145	僵尸40	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 200, ""Exp"": 120, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
146	僵尸461	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 1, ""Exp"": 120, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 21, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
147	僵尸5	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 180, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 20, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
148	僵尸50	"{""Appr"": 96, ""Race"": 42, ""Level"": 20, ""HP"": 180, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 11, ""DCMax"": 20, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
149	僵尸王	"{""Appr"": 81, ""Race"": 19, ""Level"": 73, ""HP"": 1, ""Exp"": 750, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 9, ""DCMin"": 8, ""DCMax"": 30, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
150	角蝇	"{""Appr"": 103, ""Race"": 43, ""Level"": 30, ""HP"": 1400, ""Exp"": 240, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 8, ""DCMin"": 4, ""DCMax"": 4, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
151	角蝇80	"{""Appr"": 103, ""Race"": 43, ""Level"": 30, ""HP"": 400, ""Exp"": 240, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 16, ""DCMin"": 6, ""DCMax"": 6, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
152	巨象兽0	"{""Appr"": 220, ""Race"": 19, ""Level"": 52, ""HP"": 2760, ""Exp"": 1100, ""ACMin"": 8, ""ACMax"": 8, ""MAC"": 13, ""DCMin"": 43, ""DCMax"": 54, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
153	巨型多角虫	"{""Appr"": 97, ""Race"": 19, ""Level"": 70, ""HP"": 400, ""Exp"": 200, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 7, ""DCMin"": 16, ""DCMax"": 55, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
154	聚宝箱1	"{""Appr"": 209, ""Race"": 19, ""Level"": 99, ""HP"": 1, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 220, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
155	聚宝箱2	"{""Appr"": 199, ""Race"": 19, ""Level"": 99, ""HP"": 1, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 220, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
156	聚宝箱3	"{""Appr"": 199, ""Race"": 19, ""Level"": 99, ""HP"": 1, ""Exp"": 50, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 220, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
157	聚宝箱4	"{""Appr"": 199, ""Race"": 19, ""Level"": 99, ""HP"": 1, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 220, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
158	聚宝箱5	"{""Appr"": 199, ""Race"": 19, ""Level"": 99, ""HP"": 1, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 220, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
159	骷髅	"{""Appr"": 86, ""Race"": 14, ""Level"": 18, ""HP"": 100, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
160	骷髅0	"{""Appr"": 86, ""Race"": 14, ""Level"": 18, ""HP"": 100, ""Exp"": 100, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
161	骷髅61	"{""Appr"": 86, ""Race"": 14, ""Level"": 18, ""HP"": 1, ""Exp"": 100, ""ACMin"": 1, ""ACMax"": 1, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 16, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
162	骷髅9	"{""Appr"": 86, ""Race"": 14, ""Level"": 99, ""HP"": 100, ""Exp"": 1000, ""ACMin"": 2, ""ACMax"": 2, ""MAC"": 4, ""DCMin"": 44, ""DCMax"": 88, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
163	骷髅弓箭手	"{""Appr"": 104, ""Race"": 45, ""Level"": 30, ""HP"": 1410, ""Exp"": 250, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 25, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
164	骷髅弓箭手0	"{""Appr"": 104, ""Race"": 45, ""Level"": 30, ""HP"": 1410, ""Exp"": 250, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 25, ""DCMax"": 36, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
165	骷髅教主	"{""Appr"": 225, ""Race"": 19, ""Level"": 91, ""HP"": 10000, ""Exp"": 7500, ""ACMin"": 44, ""ACMax"": 44, ""MAC"": 100, ""DCMin"": 121, ""DCMax"": 187, ""DropTable"": 10}"	121	Arch Lich Taedu	verified-alias	medium	identity mapping is separate from display translation	mapped
166	骷髅精灵	"{""Appr"": 97, ""Race"": 14, ""Level"": 72, ""HP"": 1000, ""Exp"": 500, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 9, ""DCMin"": 27, ""DCMax"": 55, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
167	骷髅精灵61	"{""Appr"": 89, ""Race"": 14, ""Level"": 72, ""HP"": 1, ""Exp"": 500, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 9, ""DCMin"": 6, ""DCMax"": 27, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
168	骷髅精灵62	"{""Appr"": 89, ""Race"": 14, ""Level"": 72, ""HP"": 1, ""Exp"": 500, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 9, ""DCMin"": 6, ""DCMax"": 27, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
169	骷髅精灵9	"{""Appr"": 97, ""Race"": 14, ""Level"": 99, ""HP"": 1000, ""Exp"": 5000, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 9, ""DCMin"": 82, ""DCMax"": 165, ""DropTable"": 10}"			pending	pending	identity mapping is separate from display translation	pending-review
170	骷髅士兵	"{""Appr"": 118, ""Race"": 19, ""Level"": 30, ""HP"": 1390, ""Exp"": 230, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 24, ""DCMax"": 37, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
171	骷髅士兵0	"{""Appr"": 118, ""Race"": 19, ""Level"": 30, ""HP"": 1390, ""Exp"": 230, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 24, ""DCMax"": 37, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
172	骷髅武将	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1730, ""Exp"": 270, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 24, ""DCMax"": 42, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
173	骷髅武将0	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1730, ""Exp"": 270, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 24, ""DCMax"": 42, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
174	骷髅武士	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1370, ""Exp"": 210, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 24, ""DCMax"": 37, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
175	骷髅武士0	"{""Appr"": 81, ""Race"": 19, ""Level"": 30, ""HP"": 1370, ""Exp"": 210, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 7, ""DCMin"": 24, ""DCMax"": 37, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
176	骷髅战将	"{""Appr"": 89, ""Race"": 14, ""Level"": 18, ""HP"": 110, ""Exp"": 110, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 18, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
177	骷髅战将0	"{""Appr"": 89, ""Race"": 14, ""Level"": 18, ""HP"": 110, ""Exp"": 110, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 18, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
178	骷髅战将61	"{""Appr"": 89, ""Race"": 14, ""Level"": 18, ""HP"": 1, ""Exp"": 110, ""ACMin"": 1, ""ACMax"": 1, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 18, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
179	骷髅战将9	"{""Appr"": 89, ""Race"": 14, ""Level"": 99, ""HP"": 110, ""Exp"": 1100, ""ACMin"": 2, ""ACMax"": 2, ""MAC"": 4, ""DCMin"": 44, ""DCMax"": 99, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
180	骷髅战士	"{""Appr"": 88, ""Race"": 14, ""Level"": 18, ""HP"": 105, ""Exp"": 105, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 17, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
181	骷髅战士0	"{""Appr"": 88, ""Race"": 14, ""Level"": 18, ""HP"": 105, ""Exp"": 105, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 17, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
182	骷髅战士61	"{""Appr"": 88, ""Race"": 14, ""Level"": 18, ""HP"": 1, ""Exp"": 105, ""ACMin"": 1, ""ACMax"": 1, ""MAC"": 3, ""DCMin"": 8, ""DCMax"": 17, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
183	盔甲虫	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 35, ""Exp"": 35, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 9, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
184	盔甲虫0	"{""Appr"": 81, ""Race"": 19, ""Level"": 13, ""HP"": 35, ""Exp"": 35, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 1, ""DCMin"": 4, ""DCMax"": 9, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
185	盔甲蚂蚁	"{""Appr"": 81, ""Race"": 19, ""Level"": 25, ""HP"": 340, ""Exp"": 260, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 29, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
