hero_kill_monster_id	hero_kill_monster_name	legacy_atlas_entry	hero_kill_definition	current_monster_info	zircon_catalog_entry	image_shape_evidence	evidence_status	mapping_is_identity_not_translation
110	红蛇0	"{""index"": 110, ""name"": ""红蛇0"", ""level"": ""15"", ""hp"": ""70"", ""dc"": ""6-12"", ""exp"": ""70"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 110, ""Name"": ""红蛇0"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 54, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 54, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
111	红野猪	"{""index"": 111, ""name"": ""红野猪"", ""level"": ""30"", ""hp"": ""1360"", ""dc"": ""24-36"", ""exp"": ""200"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 111, ""Name"": ""红野猪"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 76, ""Level"": 30, ""HP"": 1360, ""Exp"": 200, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 5, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 76, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
112	红野猪0	"{""index"": 112, ""name"": ""红野猪0"", ""level"": ""30"", ""hp"": ""1360"", ""dc"": ""24-36"", ""exp"": ""200"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 112, ""Name"": ""红野猪0"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 76, ""Level"": 30, ""HP"": 1360, ""Exp"": 200, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 5, ""DCMin"": 24, ""DCMax"": 36, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 76, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
113	红衣法师	"{""index"": 113, ""name"": ""红衣法师"", ""level"": ""55"", ""hp"": ""8800"", ""dc"": ""115-148"", ""exp"": ""2800"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 113, ""Name"": ""红衣法师"", ""Appr"": 229, ""Race"": 19, ""RaceImg"": 19, ""Level"": 55, ""HP"": 8800, ""Exp"": 2800, ""ACMin"": 17, ""ACMax"": 17, ""MAC"": 53, ""DCMin"": 115, ""DCMax"": 148, ""DropTable"": 10, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 229, ""race"": 19, ""race_img"": 19, ""library_file"": ""Mon-22.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
114	蝴蝶虫	"{""index"": 114, ""name"": ""蝴蝶虫"", ""level"": ""50"", ""hp"": ""1200"", ""dc"": ""24-41"", ""exp"": ""560"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 114, ""Name"": ""蝴蝶虫"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 72, ""Level"": 50, ""HP"": 1200, ""Exp"": 560, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 41, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 72, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
115	蝴蝶虫0	"{""index"": 115, ""name"": ""蝴蝶虫0"", ""level"": ""50"", ""hp"": ""1200"", ""dc"": ""24-37"", ""exp"": ""560"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 115, ""Name"": ""蝴蝶虫0"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 72, ""Level"": 50, ""HP"": 1200, ""Exp"": 560, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 70, ""DCMin"": 24, ""DCMax"": 37, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 72, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
116	蝴蝶虫61	"{""index"": 116, ""name"": ""蝴蝶虫61"", ""level"": ""60"", ""hp"": ""1200"", ""dc"": ""24-41"", ""exp"": ""560"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 116, ""Name"": ""蝴蝶虫61"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 72, ""Level"": 60, ""HP"": 1200, ""Exp"": 560, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 120, ""DCMin"": 24, ""DCMax"": 41, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 72, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
117	虎蛇	"{""index"": 117, ""name"": ""虎蛇"", ""level"": ""15"", ""hp"": ""70"", ""dc"": ""6-12"", ""exp"": ""70"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 117, ""Name"": ""虎蛇"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 57, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 57, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
118	虎蛇0	"{""index"": 118, ""name"": ""虎蛇0"", ""level"": ""15"", ""hp"": ""70"", ""dc"": ""6-12"", ""exp"": ""70"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 118, ""Name"": ""虎蛇0"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 57, ""Level"": 15, ""HP"": 70, ""Exp"": 70, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 2, ""DCMin"": 6, ""DCMax"": 12, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 57, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
119	护法天	"{""index"": 119, ""name"": ""护法天"", ""level"": ""78"", ""hp"": ""4000"", ""dc"": ""60-99"", ""exp"": ""2000"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 119, ""Name"": ""护法天"", ""Appr"": 101, ""Race"": 47, ""RaceImg"": 84, ""Level"": 78, ""HP"": 4000, ""Exp"": 2000, ""ACMin"": 22, ""ACMax"": 22, ""MAC"": 50, ""DCMin"": 60, ""DCMax"": 99, ""DropTable"": 10, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 101, ""race"": 47, ""race_img"": 84, ""library_file"": ""Mon-10.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
120	护卫武士	"{""index"": 120, ""name"": ""护卫武士"", ""level"": ""100"", ""hp"": ""1"", ""dc"": ""19-35"", ""exp"": ""500"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 120, ""Name"": ""护卫武士"", ""Appr"": 212, ""Race"": 19, ""RaceImg"": 55, ""Level"": 100, ""HP"": 1, ""Exp"": 500, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 16, ""DCMin"": 19, ""DCMax"": 35, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 212, ""race"": 19, ""race_img"": 55, ""library_file"": ""Mon-21.wil"", ""frame"": 2040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
121	花色蜘蛛	"{""index"": 121, ""name"": ""花色蜘蛛"", ""level"": ""35"", ""hp"": ""1510"", ""dc"": ""29-47"", ""exp"": ""350"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 121, ""Name"": ""花色蜘蛛"", ""Appr"": 119, ""Race"": 19, ""RaceImg"": 111, ""Level"": 35, ""HP"": 1510, ""Exp"": 350, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 47, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 119, ""race"": 19, ""race_img"": 111, ""library_file"": ""Mon-11.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
122	花色蜘蛛0	"{""index"": 122, ""name"": ""花色蜘蛛0"", ""level"": ""35"", ""hp"": ""1510"", ""dc"": ""29-47"", ""exp"": ""350"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 122, ""Name"": ""花色蜘蛛0"", ""Appr"": 119, ""Race"": 19, ""RaceImg"": 111, ""Level"": 35, ""HP"": 1510, ""Exp"": 350, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 29, ""DCMax"": 47, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 119, ""race"": 19, ""race_img"": 111, ""library_file"": ""Mon-11.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
123	幻影蜘蛛	"{""index"": 123, ""name"": ""幻影蜘蛛"", ""level"": ""35"", ""hp"": ""1500"", ""dc"": ""0-0"", ""exp"": ""340"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 123, ""Name"": ""幻影蜘蛛"", ""Appr"": 116, ""Race"": 35, ""RaceImg"": 106, ""Level"": 35, ""HP"": 1500, ""Exp"": 340, ""ACMin"": 3, ""ACMax"": 3, ""MAC"": 8, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 116, ""race"": 35, ""race_img"": 106, ""library_file"": ""Mon-11.wil"", ""frame"": 6040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
124	灰血恶魔	"{""index"": 124, ""name"": ""灰血恶魔"", ""level"": ""40"", ""hp"": ""1620"", ""dc"": ""33-48"", ""exp"": ""460"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 124, ""Name"": ""灰血恶魔"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 110, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 33, ""DCMax"": 48, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 110, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
125	灰血恶魔0	"{""index"": 125, ""name"": ""灰血恶魔0"", ""level"": ""40"", ""hp"": ""1620"", ""dc"": ""33-48"", ""exp"": ""460"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 125, ""Name"": ""灰血恶魔0"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 110, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 5, ""ACMax"": 5, ""MAC"": 10, ""DCMin"": 33, ""DCMax"": 48, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 110, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
126	灰血恶魔60	"{""index"": 126, ""name"": ""灰血恶魔60"", ""level"": ""40"", ""hp"": ""1620"", ""dc"": ""80-120"", ""exp"": ""460"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 126, ""Name"": ""灰血恶魔60"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 110, ""Level"": 40, ""HP"": 1620, ""Exp"": 460, ""ACMin"": 35, ""ACMax"": 35, ""MAC"": 55, ""DCMin"": 80, ""DCMax"": 120, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 110, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
127	火焰狮子0	"{""index"": 127, ""name"": ""火焰狮子0"", ""level"": ""48"", ""hp"": ""3600"", ""dc"": ""50-60"", ""exp"": ""1600"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 127, ""Name"": ""火焰狮子0"", ""Appr"": 224, ""Race"": 19, ""RaceImg"": 159, ""Level"": 48, ""HP"": 3600, ""Exp"": 1600, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 13, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 224, ""race"": 19, ""race_img"": 159, ""library_file"": ""Mon-22.wil"", ""frame"": 4040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
128	火焰狮子97	"{""index"": 128, ""name"": ""火焰狮子97"", ""level"": ""48"", ""hp"": ""3600"", ""dc"": ""50-60"", ""exp"": ""1600"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 128, ""Name"": ""火焰狮子97"", ""Appr"": 224, ""Race"": 19, ""RaceImg"": 159, ""Level"": 48, ""HP"": 3600, ""Exp"": 1600, ""ACMin"": 14, ""ACMax"": 14, ""MAC"": 27, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 224, ""race"": 19, ""race_img"": 159, ""library_file"": ""Mon-22.wil"", ""frame"": 4040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
129	火焰沃玛0	"{""index"": 129, ""name"": ""火焰沃玛0"", ""level"": ""25"", ""hp"": ""340"", ""dc"": ""15-31"", ""exp"": ""260"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 129, ""Name"": ""火焰沃玛0"", ""Appr"": 91, ""Race"": 20, ""RaceImg"": 43, ""Level"": 25, ""HP"": 340, ""Exp"": 260, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 31, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 91, ""race"": 20, ""race_img"": 43, ""library_file"": ""Mon-9.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
130	火焰沃玛30	"{""index"": 130, ""name"": ""火焰沃玛30"", ""level"": ""25"", ""hp"": ""340"", ""dc"": ""15-100"", ""exp"": ""260"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 130, ""Name"": ""火焰沃玛30"", ""Appr"": 91, ""Race"": 20, ""RaceImg"": 43, ""Level"": 25, ""HP"": 340, ""Exp"": 260, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 13, ""DCMin"": 15, ""DCMax"": 100, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 91, ""race"": 20, ""race_img"": 43, ""library_file"": ""Mon-9.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
131	火焰沃玛62	"{""index"": 131, ""name"": ""火焰沃玛62"", ""level"": ""25"", ""hp"": ""1"", ""dc"": ""15-31"", ""exp"": ""280"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 131, ""Name"": ""火焰沃玛62"", ""Appr"": 91, ""Race"": 20, ""RaceImg"": 43, ""Level"": 25, ""HP"": 1, ""Exp"": 280, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 6, ""DCMin"": 15, ""DCMax"": 31, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 91, ""race"": 20, ""race_img"": 43, ""library_file"": ""Mon-9.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
132	鸡	"{""index"": 132, ""name"": ""鸡"", ""level"": ""2"", ""hp"": ""5"", ""dc"": ""0-1"", ""exp"": ""10"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 132, ""Name"": ""鸡"", ""Appr"": 31, ""Race"": 11, ""RaceImg"": 20, ""Level"": 2, ""HP"": 5, ""Exp"": 10, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 0, ""DCMin"": 0, ""DCMax"": 1, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 31, ""race"": 11, ""race_img"": 20, ""library_file"": ""Mon-3.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
133	记事本1	"{""index"": 133, ""name"": ""记事本1"", ""level"": ""50"", ""hp"": ""2000"", ""dc"": ""0-0"", ""exp"": ""20"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 133, ""Name"": ""记事本1"", ""Appr"": 209, ""Race"": 19, ""RaceImg"": 534, ""Level"": 50, ""HP"": 2000, ""Exp"": 20, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 209, ""race"": 19, ""race_img"": 534, ""library_file"": ""Mon-20.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
134	记事本2	"{""index"": 134, ""name"": ""记事本2"", ""level"": ""50"", ""hp"": ""3000"", ""dc"": ""0-0"", ""exp"": ""30"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 134, ""Name"": ""记事本2"", ""Appr"": 209, ""Race"": 19, ""RaceImg"": 535, ""Level"": 50, ""HP"": 3000, ""Exp"": 30, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 209, ""race"": 19, ""race_img"": 535, ""library_file"": ""Mon-20.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
135	记事本3	"{""index"": 135, ""name"": ""记事本3"", ""level"": ""50"", ""hp"": ""4000"", ""dc"": ""0-0"", ""exp"": ""40"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 135, ""Name"": ""记事本3"", ""Appr"": 209, ""Race"": 19, ""RaceImg"": 536, ""Level"": 50, ""HP"": 4000, ""Exp"": 40, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 209, ""race"": 19, ""race_img"": 536, ""library_file"": ""Mon-20.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
136	记事本4	"{""index"": 136, ""name"": ""记事本4"", ""level"": ""50"", ""hp"": ""5000"", ""dc"": ""0-0"", ""exp"": ""50"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 136, ""Name"": ""记事本4"", ""Appr"": 209, ""Race"": 19, ""RaceImg"": 537, ""Level"": 50, ""HP"": 5000, ""Exp"": 50, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 110, ""DCMin"": 0, ""DCMax"": 0, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 209, ""race"": 19, ""race_img"": 537, ""library_file"": ""Mon-20.wil"", ""frame"": 9040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
137	僵尸1	"{""index"": 137, ""name"": ""僵尸1"", ""level"": ""20"", ""hp"": ""240"", ""dc"": ""10-22"", ""exp"": ""160"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 137, ""Name"": ""僵尸1"", ""Appr"": 94, ""Race"": 40, ""RaceImg"": 48, ""Level"": 20, ""HP"": 240, ""Exp"": 160, ""ACMin"": 0, ""ACMax"": 0, ""MAC"": 5, ""DCMin"": 10, ""DCMax"": 22, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 94, ""race"": 40, ""race_img"": 48, ""library_file"": ""Mon-9.wil"", ""frame"": 4040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
