movement_index	source_map_id	source_file	source_description	source_region_index	source_region_description	source_x	source_y	source_walkable	source_in_bounds	source_map_relation	icon	need_item	required_class	raw_destination_map	raw_destination_region	resolved_destination_map	resolved_destination_file	destination_x	destination_y	destination_walkable	destination_in_bounds	destination_map_relation	directionality	source_of_truth	confidence	status	reason
3355	663	41	诺玛沙漠	3855	Teleport Source	33	137	True	True	exact	None		All	42	3856	42	42	375	324	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3356	663	41	诺玛沙漠	3857	Teleport Source	32	138	True	True	exact	None		All	42	3858	42	42	374	325	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3357	663	41	诺玛沙漠	3859	Teleport Source	31	139	True	True	exact	None		All	42	3860	42	42	373	326	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3358	663	41	诺玛沙漠	3861	Teleport Source	30	140	True	True	exact	None		All	42	3862	42	42	372	327	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3359	663	41	诺玛沙漠	3863	Teleport Source	29	141	True	True	exact	None		All	42	3864	42	42	371	328	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3360	664	42	沙漠	3865	Teleport Source	376	324	True	True	exact	None		All	41	3866	41	41	34	137	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3361	664	42	沙漠	3867	Teleport Source	375	325	True	True	exact	None		All	41	3868	41	41	33	138	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3362	664	42	沙漠	3869	Teleport Source	374	326	True	True	exact	None		All	41	3870	41	41	32	139	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3363	664	42	沙漠	3871	Teleport Source	373	327	True	True	exact	None		All	41	3872	41	41	31	140	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3364	664	42	沙漠	3873	Teleport Source	372	328	True	True	exact	None		All	41	3874	41	41	30	141	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3365	664	42	沙漠	3875	Teleport Source	34	189	True	True	exact	None		All	43	3876	43	43	332	65	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3366	664	42	沙漠	3877	Teleport Source	35	190	True	True	exact	None		All	43	3878	43	43	333	66	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3367	664	42	沙漠	3879	Teleport Source	36	191	True	True	exact	None		All	43	3880	43	43	334	67	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3368	664	42	沙漠	3881	Teleport Source	37	192	True	True	exact	None		All	43	3882	43	43	335	68	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3370	665	43	沙漠	3885	Teleport Source	333	64	True	True	exact	None		All	42	3886	42	42	35	188	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3371	665	43	沙漠	3887	Teleport Source	334	65	True	True	exact	None		All	42	3888	42	42	36	189	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3372	665	43	沙漠	3889	Teleport Source	335	66	True	True	exact	None		All	42	3890	42	42	37	190	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3373	665	43	沙漠	3891	Teleport Source	336	67	True	True	exact	None		All	42	3892	42	42	38	191	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3374	665	43	沙漠	3893	Teleport Source	337	68	True	True	exact	None		All	42	3894	42	42	39	192	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3375	665	43	沙漠	3895	Teleport Source	41	204	True	True	exact	None		All	44	3896	44	44	333	333	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3376	665	43	沙漠	3897	Teleport Source	42	205	True	True	exact	None		All	44	3898	44	44	334	334	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3377	665	43	沙漠	3899	Teleport Source	43	206	True	True	exact	None		All	44	3900	44	44	335	335	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3378	665	43	沙漠	3901	Teleport Source	44	207	True	True	exact	None		All	44	3902	44	44	336	336	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3379	665	43	沙漠	3903	Teleport Source	45	208	True	True	exact	None		All	44	3904	44	44	337	337	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3380	665	43	沙漠	3905	Teleport Source	46	209	True	True	exact	None		All	44	3906	44	44	337	338	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3381	666	44	沙漠	3907	Teleport Source	334	333	True	True	exact	None		All	43	3908	43	43	42	204	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3382	666	44	沙漠	3909	Teleport Source	335	334	True	True	exact	None		All	43	3910	43	43	42	204	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3383	666	44	沙漠	3911	Teleport Source	336	335	True	True	exact	None		All	43	3912	43	43	43	205	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3384	666	44	沙漠	3913	Teleport Source	337	336	True	True	exact	None		All	43	3914	43	43	44	206	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3385	666	44	沙漠	3915	Teleport Source	338	337	True	True	exact	None		All	43	3916	43	43	45	207	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3386	666	44	沙漠	3917	Teleport Source	338	338	True	True	exact	None		All	43	3918	43	43	46	208	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3387	8	4	Numa Village	3919	Teleport Source	73	461	True	True	exact	None		All	44	3920	44	44	375	112	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3388	8	4	Numa Village	3921	Teleport Source	72	462	True	True	exact	None		All	44	3922	44	44	374	113	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3389	8	4	Numa Village	3923	Teleport Source	71	463	True	True	exact	None		All	44	3924	44	44	373	114	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3390	8	4	Numa Village	3925	Teleport Source	70	464	True	True	exact	None		All	44	3926	44	44	372	115	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3391	8	4	Numa Village	3927	Teleport Source	69	465	True	True	exact	None		All	44	3928	44	44	371	116	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3392	8	4	Numa Village	3929	Teleport Source	68	466	True	True	exact	None		All	44	3930	44	44	370	117	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3393	666	44	沙漠	3931	Teleport Source	376	112	True	True	exact	None		All	4	3932	4	4	74	461	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3394	666	44	沙漠	3933	Teleport Source	375	113	True	True	exact	None		All	4	3934	4	4	73	462	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3395	666	44	沙漠	3935	Teleport Source	374	114	True	True	exact	None		All	4	3936	4	4	72	463	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3396	666	44	沙漠	3937	Teleport Source	373	115	True	True	exact	None		All	4	3938	4	4	71	464	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3397	666	44	沙漠	3939	Teleport Source	372	116	True	True	exact	None		All	4	3940	4	4	70	465	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3398	666	44	沙漠	3941	Teleport Source	371	117	True	True	exact	None		All	4	3942	4	4	69	466	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3399	13	D002	Desert	3943	Teleport Source	191	231	True	True	exact	None		All	DM001	3944	DM001	DM001	5	10	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3400	1058	DM001	奸商	3945	Teleport Source	6	10	True	True	exact	None		All	D002	3946	D002	D002	191	232	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3401	13	D002	Desert	3947	Teleport Source	225	175	True	True	exact	None		All	DM002	3948	DM002	DM002	8	28	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3402	1059	DM002	王陵	3949	Teleport Source	7	28	True	True	exact	None		All	D002	3950	D002	D002	225	176	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3403	14	D003	Lost Paradise Forest	3951	Teleport Source	78	229	True	True	exact	None		All	E001	3952	E001	E001	9	14	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3404	1061	E001	行会大战	3953	Teleport Source	8	13	True	True	exact	None		All	D003	3954	D003	D003	77	230	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3405	1061	E001	行会大战	3955	Teleport Source	85	15	True	True	exact	None		All	E002	3956	E002	E002	85	10	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
3406	1062	E002	半兽天然洞穴	3957	Teleport Source	84	9	True	True	exact	None		All	E001	3958	E001	E001	84	16	True	True	exact	source-region-to-destination-region (MovementInfo directed edge)	1: Tools/dbeditor/workspace/MovementInfo.json + MapRegion.json | 2: reference/mir3-source/Source/GameServer/LocalDB.pas LoadMapInfos (MapInfo.txt gate model) | 3: 2026-09-25 map_manifest exact/renamed/variant/replacement/pending relation | 4: map terrain flag reader implemented independently by this audit generator	0.25	pending_manual_review	workspace region centroid is not an EI Envir gate record; no safe coordinate correction inferred
